Wavelength(nm),Spectrum,,,,,,,,,,,,
689,9.61E-05,,,,,,,,,,,,
690,9.49E-05,,,,,,,,,,,,
691,1.10E-04,,,,,,,,,,,,
692,9.34E-05,,,,,,,,,,,,
693,9.97E-05,,,,,,,,,,,,
694,9.27E-05,,,,,,,,,,,,
695,1.02E-04,,,,,,,,,,,,
696,6.95E-05,,,,,,,,,,,,
697,8.50E-05,,,,,,,,,,,,
698,9.00E-05,,,,,,,,,,,,
699,8.10E-05,,,,,,,,,,,,
700,8.46E-05,,,,,,,,,,,,
701,8.40E-05,,,,,,,,,,,,
702,9.48E-05,,,,,,,,,,,,
703,7.84E-05,,,,,,,,,,,,
704,7.59E-05,,,,,,,,,,,,
705,8.77E-05,,,,,,,,,,,,
706,7.21E-05,,,,,,,,,,,,
707,7.87E-05,,,,,,,,,,,,
708,7.34E-05,,,,,,,,,,,,
709,8.92E-05,,,,,,,,,,,,
710,7.47E-05,,,,,,,,,,,,
711,7.11E-05,,,,,,,,,,,,
712,7.33E-05,,,,,,,,,,,,
713,7.09E-05,,,,,,,,,,,,
714,6.69E-05,,,,,,,,,,,,
715,7.10E-05,,,,,,,,,,,,
716,5.37E-05,,,,,,,,,,,,
717,7.69E-05,,,,,,,,,,,,
718,6.42E-05,,,,,,,,,,,,
719,6.08E-05,,,,,,,,,,,,
720,6.92E-05,,,,,,,,,,,,
721,4.95E-05,,,,,,,,,,,,
722,6.74E-05,,,,,,,,,,,,
723,4.98E-05,,,,,,,,,,,,
724,6.14E-05,,,,,,,,,,,,
725,5.88E-05,,,,,,,,,,,,
726,5.08E-05,,,,,,,,,,,,
727,5.86E-05,,,,,,,,,,,,
728,6.76E-05,,,,,,,,,,,,
729,3.04E-05,,,,,,,,,,,,
730,4.41E-05,,,,,,,,,,,,
731,4.92E-05,,,,,,,,,,,,
732,4.32E-05,,,,,,,,,,,,
733,3.94E-05,,,,,,,,,,,,
734,5.30E-05,,,,,,,,,,,,
735,4.74E-05,,,,,,,,,,,,
736,6.28E-05,,,,,,,,,,,,
737,3.70E-05,,,,,,,,,,,,
738,6.35E-05,,,,,,,,,,,,
739,5.15E-05,,,,,,,,,,,,
740,5.22E-05,,,,,,,,,,,,
741,3.14E-05,,,,,,,,,,,,
742,4.44E-05,,,,,,,,,,,,
743,6.13E-05,,,,,,,,,,,,
744,3.34E-05,,,,,,,,,,,,
745,5.06E-05,,,,,,,,,,,,
746,5.26E-05,,,,,,,,,,,,
747,4.43E-05,,,,,,,,,,,,
748,3.04E-05,,,,,,,,,,,,
749,5.52E-05,,,,,,,,,,,,
750,3.81E-05,,,,,,,,,,,,
751,5.09E-05,,,,,,,,,,,,
752,4.87E-05,,,,,,,,,,,,
753,5.36E-05,,,,,,,,,,,,
754,3.84E-05,,,,,,,,,,,,
755,2.88E-05,,,,,,,,,,,,
756,3.98E-05,,,,,,,,,,,,
757,4.24E-05,,,,,,,,,,,,
758,3.24E-05,,,,,,,,,,,,
759,2.46E-05,,,,,,,,,,,,
760,3.46E-05,,,,,,,,,,,,
761,2.98E-05,,,,,,,,,,,,
762,4.55E-05,,,,,,,,,,,,
763,4.20E-05,,,,,,,,,,,,
764,3.72E-05,,,,,,,,,,,,
765,4.48E-05,,,,,,,,,,,,
766,3.16E-05,,,,,,,,,,,,
767,4.74E-05,,,,,,,,,,,,
768,3.02E-05,,,,,,,,,,,,
769,3.86E-05,,,,,,,,,,,,
770,3.27E-05,,,,,,,,,,,,
771,5.91E-05,,,,,,,,,,,,
772,4.94E-05,,,,,,,,,,,,
773,5.32E-05,,,,,,,,,,,,
774,4.71E-05,,,,,,,,,,,,
775,4.00E-05,,,,,,,,,,,,
776,4.64E-05,,,,,,,,,,,,
777,3.79E-05,,,,,,,,,,,,
778,3.61E-05,,,,,,,,,,,,
779,3.68E-05,,,,,,,,,,,,
780,5.17E-05,,,,,,,,,,,,
,,,,,,,,,,,,,
