sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__papersci__0176,paper_spectra,papersci,papersci_0176,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,13.82,12.1,10.63,9.89,9.62,9.74,10.27,11.33,13.11,15.75,20.15,26.94,37.48,49.3,60.02,68.57,74.15,76.91,78.61,79.6,80.44,81.1,81.73,82.17,82.72,83.33,84.08,84.83,85.51,86.26,87.09
paper_spectra__papersci__0177,paper_spectra,papersci,papersci_0177,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,13.95,12.24,10.79,10.05,9.79,9.91,10.45,11.56,13.37,16.02,20.47,27.32,37.82,49.84,61.49,72.19,80.83,86.37,90.31,92.9,94.8,96.32,97.59,98.5,99.52,100.62,101.81,103.02,104.22,105.42,106.67
paper_spectra__papersci__0178,paper_spectra,papersci,papersci_0178,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,37.33,36.09,35,34.4,34.27,34.58,35.35,36.57,38.27,40.16,42.34,44.8,47.39,49.58,51.77,54.01,56.19,58.16,60.53,63.35,66.45,69.77,73.19,76.42,79.54,82.27,84.56,86.57,88.39,90.05,91.86
paper_spectra__papersci__0179,paper_spectra,papersci,papersci_0179,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,37.38,36.18,35.11,34.52,34.39,34.69,35.47,36.68,38.34,40.21,42.35,44.75,47.24,49.34,51.39,53.45,55.42,57.22,59.33,61.78,64.41,67.17,69.92,72.39,74.75,76.84,78.56,80.11,81.53,82.8,84.22
paper_spectra__papersci__0180,paper_spectra,papersci,papersci_0180,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,36.98,35.72,34.58,33.94,33.76,34.05,34.84,36.09,37.76,39.66,41.83,44.28,46.87,49.02,51.13,53.28,55.39,57.31,59.58,62.31,65.29,68.54,71.9,75.14,78.39,81.38,83.94,86.22,88.35,90.37,92.65
paper_spectra__papersci__0181,paper_spectra,papersci,papersci_0181,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,51.48,50.63,49.83,49.41,49.52,50.26,51.8,54.05,57.05,60.49,64.39,68.23,71.41,73.42,74.8,76.52,79.46,83.17,87.07,89.93,91.47,92.37,93,93.5,94.14,94.81,95.58,96.46,97.32,98.16,98.94
paper_spectra__papersci__0182,paper_spectra,papersci,papersci_0182,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,50.93,50.15,49.35,48.96,49.1,49.85,51.32,53.43,56.21,59.33,62.69,65.88,68.46,69.97,71.07,72.41,74.63,77.25,79.93,81.93,83.13,83.93,84.59,85.18,85.83,86.49,87.25,88.07,88.89,89.71,90.52
paper_spectra__papersci__0183,paper_spectra,papersci,papersci_0183,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,51.21,50.41,49.61,49.21,49.33,50.06,51.56,53.74,56.61,59.88,63.53,67.18,70.2,72.08,73.46,75.18,78.13,82.11,86.73,90.62,93.09,94.7,95.9,96.89,97.95,99.03,100.2,101.43,102.63,103.82,105.04
paper_spectra__papersci__0184,paper_spectra,papersci,papersci_0184,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,45.36,42.93,40.77,39.68,39.94,41.59,44.55,49.48,56.74,64.7,72.3,78.72,83.7,86.97,88.98,90.36,91.36,91.93,92.41,92.74,93.16,93.54,93.87,94.21,94.7,95.26,95.91,96.66,97.42,98.19,98.94
paper_spectra__papersci__0185,paper_spectra,papersci,papersci_0185,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,44.98,42.64,40.53,39.42,39.67,41.29,44.15,48.79,55.28,61.87,67.52,71.87,74.98,76.85,78.06,79,79.83,80.33,80.84,81.34,81.88,82.37,82.87,83.37,83.94,84.5,85.17,85.95,86.71,87.44,88.18
paper_spectra__papersci__0186,paper_spectra,papersci,papersci_0186,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,44.97,42.63,40.49,39.42,39.7,41.32,44.23,49.02,55.89,63.24,70.24,76.42,81.76,85.72,88.63,91.04,92.98,94.24,95.33,96.27,97.24,98.16,99.01,99.86,100.79,101.75,102.81,103.94,105.07,106.19,107.32
paper_spectra__papersci__0187,paper_spectra,papersci,papersci_0187,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,55.77,55.01,53.84,52.7,51.81,51.43,51.63,52.07,52.87,54.16,55.92,57.86,59.67,60.7,61.19,61.59,62.77,64.52,66.25,66.94,66.27,64.91,63.9,63.8,64.52,65.45,66.14,66.77,67.88,69.78,72.8
paper_spectra__papersci__0188,paper_spectra,papersci,papersci_0188,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\papersci.asc,31,54.5,53.84,52.83,51.83,51.02,50.67,50.87,51.26,51.99,53.14,54.68,56.37,57.88,58.71,59.11,59.52,60.55,61.96,63.35,63.99,63.55,62.56,61.82,61.79,62.42,63.27,63.92,64.54,65.56,67.18,69.68
