sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__newsprintsci__0026,paper_spectra,newsprintsci,newsprintsci_0026,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,28.33,31.4,31.85,30.67,29.7,29.58,31.6,36.97,45.97,56.11,64.26,68.34,69.55,70,70.37,70.78,71.39,71.96,72.61,73.12,73.67,74.39,75.35,76.24,77.16,78.1,79,79.88,80.74,81.49,82.21
paper_spectra__newsprintsci__0027,paper_spectra,newsprintsci,newsprintsci_0027,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,28.44,31.47,31.95,30.81,29.87,29.72,31.74,37.15,46.29,57,66.39,71.81,73.9,74.85,75.62,76.42,77.43,78.42,79.51,80.39,81.27,82.57,84.43,86.33,88.27,90.24,92.15,93.95,95.51,96.86,98.24
paper_spectra__newsprintsci__0028,paper_spectra,newsprintsci,newsprintsci_0028,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,28.37,31.48,31.92,30.74,29.76,29.59,31.62,37.13,46.69,58.23,68.62,74.6,76.82,77.72,78.41,79.11,80,80.84,81.76,82.41,83.05,84.05,85.37,86.64,87.92,89.18,90.43,91.59,92.59,93.5,94.44
paper_spectra__newsprintsci__0029,paper_spectra,newsprintsci,newsprintsci_0029,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,28.16,31.23,31.71,30.52,29.54,29.41,31.42,36.82,45.86,56.03,64.2,68.29,69.5,69.91,70.29,70.69,71.3,71.89,72.5,73,73.57,74.28,75.21,76.12,77.06,78,78.88,79.76,80.61,81.33,82.08
paper_spectra__newsprintsci__0030,paper_spectra,newsprintsci,newsprintsci_0030,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,28.42,31.43,31.86,30.71,29.76,29.64,31.68,37.09,46.3,57.09,66.51,71.94,74.04,74.96,75.71,76.53,77.51,78.52,79.62,80.47,81.35,82.65,84.52,86.44,88.35,90.28,92.2,94.01,95.58,96.89,98.26
paper_spectra__newsprintsci__0031,paper_spectra,newsprintsci,newsprintsci_0031,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,26.38,27.18,25.87,23.9,22.47,22.29,24.88,31.94,44.49,59.47,71.39,76.11,75.83,74.75,73.4,71.24,70.42,73.32,78.55,81.97,82.64,83.08,84.48,86.07,87.55,88.9,90.13,91.2,92.05,92.79,93.62
paper_spectra__newsprintsci__0032,paper_spectra,newsprintsci,newsprintsci_0032,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,26.2,26.98,25.76,23.81,22.39,22.27,24.84,31.55,42.54,54.02,61.75,64.24,63.78,62.99,62.18,60.96,60.57,62.29,65.26,67.14,67.58,67.88,68.75,69.75,70.68,71.51,72.31,73,73.68,74.33,74.95
paper_spectra__newsprintsci__0033,paper_spectra,newsprintsci,newsprintsci_0033,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,26.35,27.13,25.88,23.92,22.51,22.36,24.96,31.79,43.45,56.78,67.08,71.22,71.05,70.14,69.01,67.15,66.49,69.31,74.52,78.26,79.39,80.34,82.47,85.11,87.8,90.32,92.67,94.77,96.53,97.92,99.41
paper_spectra__newsprintsci__0034,paper_spectra,newsprintsci,newsprintsci_0034,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,26.31,27.14,25.86,23.86,22.43,22.28,24.87,31.9,44.47,59.52,71.44,76.14,75.85,74.79,73.46,71.3,70.51,73.48,78.69,82.11,82.82,83.26,84.62,86.21,87.69,88.97,90.18,91.23,92.09,92.85,93.64
paper_spectra__newsprintsci__0035,paper_spectra,newsprintsci,newsprintsci_0035,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,26.2,27.02,25.8,23.83,22.4,22.25,24.82,31.56,42.64,54.28,62.17,64.72,64.26,63.44,62.59,61.33,60.95,62.71,65.72,67.65,68.11,68.41,69.28,70.29,71.21,72.06,72.85,73.6,74.28,74.91,75.52
paper_spectra__newsprintsci__0036,paper_spectra,newsprintsci,newsprintsci_0036,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\newsprintsci.asc,31,26.31,27.07,25.82,23.87,22.46,22.32,24.9,31.7,43.29,56.62,66.96,71.14,70.93,69.99,68.88,67.04,66.38,69.18,74.34,78.06,79.2,80.13,82.32,84.97,87.65,90.19,92.55,94.66,96.46,97.9,99.33
