sample_id,dataset,subdataset,label,source_file,n_wavelengths,nm_400,nm_410,nm_420,nm_430,nm_440,nm_450,nm_460,nm_470,nm_480,nm_490,nm_500,nm_510,nm_520,nm_530,nm_540,nm_550,nm_560,nm_570,nm_580,nm_590,nm_600,nm_610,nm_620,nm_630,nm_640,nm_650,nm_660,nm_670,nm_680,nm_690,nm_700
paper_spectra__cardboardsce__0021,paper_spectra,cardboardsce,cardboardsce_0021,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,19.2,23.49,27.37,30.6,33.55,34.41,32.92,30.49,27.45,24.32,21.26,18.58,16.04,13.91,12.13,10.5,8.98,7.84,7.03,6.57,6.19,5.95,6.02,6.31,6.71,6.97,6.77,6.53,6.88,7.97,9.71
paper_spectra__cardboardsce__0022,paper_spectra,cardboardsce,cardboardsce_0022,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,19.17,23.45,27.32,30.54,33.5,34.38,32.91,30.48,27.44,24.32,21.22,18.52,16.01,13.86,12.09,10.45,8.93,7.84,7,6.53,6.15,5.96,5.98,6.26,6.66,6.94,6.75,6.51,6.85,7.92,9.66
paper_spectra__cardboardsce__0023,paper_spectra,cardboardsce,cardboardsce_0023,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,42.57,48.16,52.67,55.99,59.17,61.14,61.7,61.73,60.95,59.37,56.84,53.52,49,44.1,39.07,33.68,28.21,23.86,20.51,18.39,16.89,16.08,16.1,16.85,17.92,18.59,18.21,17.75,18.71,21.44,25.47
paper_spectra__cardboardsce__0024,paper_spectra,cardboardsce,cardboardsce_0024,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,41.17,46.93,51.67,55.17,58.55,60.68,61.3,61.33,60.52,58.86,56.21,52.73,48.05,43.02,37.95,32.54,27.15,22.99,19.74,17.73,16.3,15.5,15.5,16.25,17.26,17.9,17.48,16.99,18.04,20.91,25.11
paper_spectra__cardboardsce__0025,paper_spectra,cardboardsce,cardboardsce_0025,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,36.26,43.17,49.33,54.82,61.1,65.79,68.26,69.79,69.39,67.14,63.41,58.56,52.17,45.47,38.92,32.05,25.5,20.74,17.32,15.16,13.53,12.48,12.24,12.73,13.42,13.75,13.11,12.5,13.39,15.92,19.52
paper_spectra__cardboardsce__0026,paper_spectra,cardboardsce,cardboardsce_0026,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,36.18,43.17,49.35,54.86,61.18,65.87,68.36,69.95,69.56,67.33,63.59,58.79,52.4,45.69,39.06,32.1,25.52,20.7,17.2,15.04,13.46,12.41,12.16,12.64,13.37,13.67,13.05,12.48,13.35,15.81,19.37
paper_spectra__cardboardsce__0027,paper_spectra,cardboardsce,cardboardsce_0027,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,41.54,47.21,51.76,55.09,58.36,60.43,61.05,61.07,60.26,58.66,56.04,52.61,48.07,43.2,38.32,33.09,27.92,23.81,20.61,18.52,17.01,16.07,15.94,16.52,17.43,17.88,17.27,16.62,17.59,20.55,24.96
paper_spectra__cardboardsce__0028,paper_spectra,cardboardsce,cardboardsce_0028,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,41.67,47.17,51.61,54.91,58.09,60.09,60.7,60.74,59.98,58.43,55.88,52.53,48.05,43.27,38.37,33.15,27.91,23.77,20.53,18.46,16.97,16.11,16.05,16.69,17.64,18.21,17.74,17.18,18.14,20.95,25.12
paper_spectra__cardboardsce__0029,paper_spectra,cardboardsce,cardboardsce_0029,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,61.21,64.28,66.78,68.5,70.16,71.59,72.66,73.7,74.57,75.23,75.69,75.98,75.87,75.46,74.44,72.67,69.86,66.79,63.74,61.08,58.74,57.35,57.25,58.1,59.24,59.44,57.02,54.62,56.52,62.52,68.86
paper_spectra__cardboardsce__0030,paper_spectra,cardboardsce,cardboardsce_0030,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,61.74,64.78,67.26,69.04,70.74,72.19,73.39,74.53,75.48,76.25,76.74,77.04,77.01,76.49,75.35,73.35,70.38,67.23,64.12,61.41,59.01,57.53,57.39,58.19,59.33,59.46,56.92,54.44,56.39,62.52,69.08
paper_spectra__cardboardsce__0031,paper_spectra,cardboardsce,cardboardsce_0031,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,59.23,62.7,65.63,67.82,70.05,72.03,73.38,74.32,74.72,74.53,73.68,72.27,70.16,67.71,64.82,61.5,57.73,54.13,50.66,47.79,45.28,43.53,43.05,43.7,44.8,45.33,44.13,42.78,44.34,49.31,55.78
paper_spectra__cardboardsce__0032,paper_spectra,cardboardsce,cardboardsce_0032,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,58.93,62.43,65.41,67.68,69.95,71.91,73.29,74.3,74.7,74.51,73.65,72.26,70.12,67.64,64.77,61.46,57.66,54.07,50.62,47.76,45.21,43.45,43,43.61,44.69,45.21,43.98,42.59,44.15,49.17,55.62
paper_spectra__cardboardsce__0033,paper_spectra,cardboardsce,cardboardsce_0033,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,60.18,62.48,64.41,65.75,67.04,68.23,69.08,69.69,69.87,69.44,68.33,66.94,65.13,63.15,60.79,57.9,54.38,51.01,47.77,45.07,42.69,40.95,40.34,40.74,41.64,42.17,41.45,40.64,41.77,44.96,49.01
paper_spectra__cardboardsce__0034,paper_spectra,cardboardsce,cardboardsce_0034,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,60.88,63.13,65,66.38,67.68,68.87,69.7,70.35,70.54,70.09,68.91,67.51,65.78,63.73,61.31,58.41,54.86,51.43,48.12,45.37,42.99,41.28,40.65,41.08,42.02,42.56,41.84,41.04,42.19,45.43,49.45
paper_spectra__cardboardsce__0035,paper_spectra,cardboardsce,cardboardsce_0035,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,55.62,60.69,65.09,68.6,72.04,74.64,76.11,77.16,77.6,77.36,76.33,74.58,71.58,67.81,63.34,57.76,51.37,45.81,41.13,37.76,35.28,33.71,33.46,34.38,35.61,36.22,35.33,34.25,35.28,38.88,43.92
paper_spectra__cardboardsce__0036,paper_spectra,cardboardsce,cardboardsce_0036,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,56.92,61.92,66.12,69.45,72.8,75.38,76.85,77.91,78.3,78.01,76.93,75.13,72,68.11,63.51,57.83,51.28,45.57,40.79,37.4,34.91,33.36,33.21,34.2,35.49,36.17,35.33,34.34,35.41,39.02,44.07
paper_spectra__cardboardsce__0037,paper_spectra,cardboardsce,cardboardsce_0037,E:\Python projects\spetrum_data_from_uef\uef_spectral_data\extracted\paper_spectra\cardboardsce.asc,31,58.2,62.91,66.49,69.03,71.93,74.59,75.76,75.9,75.41,74.3,72.38,69.86,66.11,61.71,56.8,51.27,45.9,42.68,41.27,40.9,40.33,39.92,40.8,43.26,46.37,49.11,50.55,49.99,48.16,47.24,47.65
