L,h,C_max
8,216,29.3334960938
8,219,29.2236328125
8,222,29.1687011719
8,225,29.1137695312
8,228,29.1320800781
8,231,29.1870117188
8,234,29.296875
8,237,29.4250488281
8,240,29.6447753906
8,243,29.9011230469
8,246,30.2307128906
8,249,30.5969238281
8,252,31.0546875
8,255,31.5856933594
8,258,32.1716308594
8,261,32.8491210938
8,264,33.6364746094
8,267,34.5153808594
8,270,35.5041503906
8,273,36.6394042969
8,276,37.9577636719
8,279,39.5141601562
8,282,41.2902832031
8,285,43.359375
8,288,45.8129882812
8,291,48.6694335938
8,294,52.0935058594
8,297,56.1767578125
8,300,61.1572265625
8,303,67.3278808594
8,306,75.0732421875
8,309,85.0708007812
8,312,98.3642578125
8,315,116.89453125
8,318,145.056152344
8,321,177.465820312
8,324,115.173339844
8,327,89.3920898438
8,330,76.5380859375
8,333,68.4631347656
8,336,62.7685546875
8,339,58.5388183594
8,342,55.2795410156
8,345,52.6977539062
8,348,50.6469726562
8,351,48.9990234375
8,354,47.6806640625
8,357,46.6552734375
8,360,45.8679199219
9,0,47.7722167969
9,3,47.16796875
9,6,46.728515625
9,9,46.4172363281
9,12,46.2341308594
9,15,46.1608886719
9,18,46.2158203125
9,21,43.2861328125
9,24,38.1225585938
9,27,34.1491699219
9,30,30.9997558594
9,33,28.4545898438
9,36,26.3671875
9,39,24.6276855469
9,42,23.1628417969
9,45,21.9177246094
9,48,20.8557128906
9,51,19.9401855469
9,54,19.1528320312
9,57,18.4753417969
9,60,17.8894042969
9,63,17.3767089844
9,66,16.9555664062
9,69,16.5893554688
9,72,16.2780761719
9,75,16.0400390625
9,78,15.8386230469
9,81,15.673828125
9,84,15.5639648438
9,87,15.5090332031
9,90,15.4907226562
9,93,15.5090332031
9,96,15.5639648438
9,99,15.673828125
9,102,15.8203125
9,105,16.0217285156
9,108,16.2780761719
9,111,16.5893554688
9,114,16.9372558594
9,117,17.3767089844
9,120,17.87109375
9,123,18.45703125
9,126,19.1162109375
9,129,19.9035644531
9,132,20.80078125
9,135,21.8627929688
9,138,23.0895996094
9,141,24.5178222656
9,144,26.2023925781
9,147,28.1799316406
9,150,30.4870605469
9,153,33.1237792969
9,156,35.9619140625
9,159,38.3972167969
9,162,39.5141601562
9,165,39.6789550781
9,168,39.3676757812
9,171,38.8732910156
9,174,38.2873535156
9,177,37.7014160156
9,180,37.1520996094
9,183,36.6027832031
9,186,36.0717773438
9,189,35.5407714844
9,192,35.0280761719
9,195,34.5336914062
9,198,34.0759277344
9,201,33.6364746094
9,204,33.2336425781
9,207,32.8491210938
9,210,32.5378417969
9,213,32.2265625
9,216,31.9519042969
9,219,31.7504882812
9,222,31.5673828125
9,225,31.4208984375
9,228,31.34765625
9,231,31.3110351562
9,234,31.3293457031
9,237,31.4025878906
9,240,31.5490722656
9,243,31.7504882812
9,246,31.9885253906
9,249,32.3181152344
9,252,32.7209472656
9,255,33.1970214844
9,258,33.7280273438
9,261,34.3688964844
9,264,35.1013183594
9,267,35.9802246094
9,270,36.9873046875
9,273,38.1591796875
9,276,39.55078125
9,279,41.1437988281
9,282,42.9931640625
9,285,45.1721191406
9,288,47.7172851562
9,291,50.7019042969
9,294,54.2541503906
9,297,58.5205078125
9,300,63.7023925781
9,303,70.1293945312
9,306,78.1860351562
9,309,88.6047363281
9,312,102.465820312
9,315,121.765136719
9,318,151.080322266
9,321,184.771728516
9,324,119.952392578
9,327,93.1091308594
9,330,79.7241210938
9,333,71.3012695312
9,336,65.3869628906
9,339,60.9741210938
9,342,57.568359375
9,345,54.8950195312
9,348,52.7526855469
9,351,51.0314941406
9,354,49.658203125
9,357,48.5961914062
9,360,47.7722167969
10,0,49.2919921875
10,3,48.6694335938
10,6,48.2482910156
10,9,47.9736328125
10,12,47.8271484375
10,15,47.8088378906
10,18,47.900390625
