L,h,C_max
8,201,36.4196777344
8,204,37.0422363281
8,207,37.7197265625
8,210,38.4704589844
8,213,39.3127441406
8,216,40.2465820312
8,219,41.2719726562
8,222,42.3889160156
8,225,43.5974121094
8,228,44.9157714844
8,231,46.3256835938
8,234,47.8271484375
8,237,49.4567871094
8,240,51.1779785156
8,243,53.0090332031
8,246,54.9682617188
8,249,57.0373535156
8,252,59.2529296875
8,255,61.6333007812
8,258,64.1418457031
8,261,66.8334960938
8,264,69.7082519531
8,267,72.802734375
8,270,76.1169433594
8,273,79.8522949219
8,276,84.228515625
8,279,89.35546875
8,282,95.4528808594
8,285,102.722167969
8,288,111.511230469
8,291,122.314453125
8,294,135.882568359
8,297,150.494384766
8,300,146.887207031
8,303,132.275390625
8,306,105.798339844
8,309,86.6088867188
8,312,74.8718261719
8,315,66.8884277344
8,318,61.0473632812
8,321,56.54296875
8,324,52.9907226562
8,327,50.0793457031
8,330,47.6989746094
8,333,45.7214355469
8,336,44.0551757812
8,339,42.6635742188
8,342,41.5100097656
8,345,40.5395507812
8,348,39.7521972656
8,351,39.1296386719
8,354,38.6352539062
8,357,38.2873535156
8,360,38.0493164062
9,0,39.6423339844
9,3,39.5324707031
9,6,39.5324707031
9,9,39.6423339844
9,12,39.8620605469
9,15,40.1916503906
9,18,40.6494140625
9,21,41.2170410156
9,24,38.1225585938
9,27,34.1491699219
9,30,30.9814453125
9,33,28.4362792969
9,36,26.3305664062
9,39,24.5910644531
9,42,23.1079101562
9,45,21.8627929688
9,48,20.80078125
9,51,19.8852539062
9,54,19.0979003906
9,57,18.4204101562
9,60,17.8344726562
9,63,17.3400878906
9,66,16.9006347656
9,69,16.5344238281
9,72,16.2414550781
9,75,15.9851074219
9,78,15.7836914062
9,81,15.6188964844
9,84,15.52734375
9,87,15.4541015625
9,90,15.4357910156
9,93,15.4541015625
9,96,15.5090332031
9,99,15.6188964844
9,102,15.7653808594
9,105,15.966796875
9,108,16.2231445312
9,111,16.5161132812
9,114,16.8823242188
9,117,17.3034667969
9,120,17.7978515625
9,123,18.3837890625
9,126,19.04296875
9,129,19.8120117188
9,132,20.7092285156
9,135,21.7346191406
9,138,22.9431152344
9,141,24.3347167969
9,144,25.927734375
9,147,27.7770996094
9,150,29.8095703125
9,153,31.9152832031
9,156,33.8745117188
9,159,35.5773925781
9,162,36.8041992188
9,165,37.4450683594
9,168,37.7563476562
9,171,37.9028320312
9,174,38.0126953125
9,177,38.1042480469
9,180,38.232421875
9,183,38.4521484375
9,186,38.7084960938
9,189,39.0014648438
9,192,39.3676757812
9,195,39.8071289062
9,198,40.3015136719
9,201,40.869140625
9,204,41.5100097656
9,207,42.2241210938
9,210,42.9931640625
9,213,43.8537597656
9,216,44.8059082031
9,219,45.8129882812
9,222,46.9299316406
9,225,48.1201171875
9,228,49.4018554688
9,231,50.7934570312
9,234,52.2399902344
9,237,53.7780761719
9,240,55.4443359375
9,243,57.1655273438
9,246,59.0148925781
9,249,60.9924316406
9,252,63.0798339844
9,255,65.3137207031
9,258,67.7124023438
9,261,70.2575683594
9,264,73.0041503906
9,267,75.9704589844
9,270,79.2846679688
9,273,83.1665039062
9,276,87.7258300781
9,279,93.0725097656
9,282,99.4079589844
9,285,107.006835938
9,288,116.143798828
9,291,127.404785156
9,294,141.540527344
9,297,156.701660156
9,300,152.947998047
9,303,137.731933594
9,306,110.174560547
9,309,90.2160644531
9,312,77.9846191406
9,315,69.6716308594
9,318,63.5925292969
9,321,58.9050292969
9,324,55.1879882812
9,327,52.1667480469
9,330,49.6765136719
9,333,47.607421875
9,336,45.8862304688
9,339,44.4396972656
9,342,43.2312011719
9,345,42.2241210938
9,348,41.4001464844
9,351,40.7409667969
9,354,40.2465820312
9,357,39.8803710938
9,360,39.6423339844
10,0,41.015625
10,3,40.8874511719
10,6,40.9057617188
10,9,41.0339355469
10,12,41.2719726562
10,15,41.6381835938
10,18,42.1142578125
10,21,42.7185058594
10,24,42.3889160156
10,27,37.939453125
10,30,34.4421386719
10,33,31.6040039062
10,36,29.2602539062
10,39,27.3193359375
10,42,25.6896972656
10,45,24.2980957031
10,48,23.1079101562
10,51,22.1008300781
10,54,21.2219238281
10,57,20.4711914062
10,60,19.8303222656
10,63,19.2626953125
10,66,18.7866210938
10,69,18.3837890625
10,72,18.0358886719
10,75,17.7612304688
10,78,17.5415039062
10,81,17.3583984375
10,84,17.2485351562
10,87,17.1752929688
10,90,17.138671875
10,93,17.1752929688
10,96,17.2302246094
10,99,17.3583984375
10,102,17.5231933594
10,105,17.7429199219
10,108,18.017578125
10,111,18.3471679688
10,114,18.75
10,117,19.2260742188
10,120,19.775390625
10,123,20.4162597656
10,126,21.1669921875
10,129,22.0092773438
10,132,22.998046875
10,135,24.1516113281
10,138,25.4699707031
10,141,27.0080566406
10,144,28.8024902344
10,147,30.8166503906
10,150,33.0688476562
10,153,35.3759765625
10,156,37.5366210938
10,159,39.4226074219
10,162,40.7958984375
10,165,41.4916992188
10,168,41.8395996094
10,171,42.0227050781
10,174,42.1325683594
10,177,42.2607421875
10,180,42.4255371094
10,183,42.6452636719
10,186,42.9382324219
10,189,43.2678222656
10,192,43.65234375
10,195,44.091796875
10,198,44.6044921875
10,201,45.1721191406
10,204,45.7946777344
10,207,46.4904785156
10,210,47.2778320312
10,213,48.1201171875
10,216,49.0173339844
10,219,50.0061035156
10,222,51.0681152344
10,225,52.2033691406
10,228,53.4118652344
10,231,54.6936035156
10,234,56.0302734375
10,237,57.4768066406
10,240,58.9965820312
10,243,60.5895996094
10,246,62.3291015625
10,249,64.1418457031
10,252,66.0827636719
10,255,68.1884765625
10,258,70.4040527344
10,261,72.802734375
10,264,75.4211425781
10,267,78.3508300781
10,270,81.7749023438
10,273,85.7849121094
10,276,90.4541015625
10,279,95.947265625
10,282,102.465820312
10,285,110.247802734
10,288,119.641113281
10,291,131.195068359
10,294,145.751953125
10,297,155.017089844
10,300,151.409912109
10,303,137.219238281
10,306,112.188720703
10,309,92.7978515625
10,312,80.4565429688
10,315,71.9787597656
10,318,65.7348632812
10,321,60.9191894531
10,324,57.0739746094
10,327,53.9611816406
10,330,51.3977050781
10,333,49.2553710938
10,336,47.4792480469
10,339,45.9777832031
10,342,44.7326660156
10,345,43.6889648438
10,348,42.8466796875
10,351,42.1691894531
10,354,41.6381835938
10,357,41.2536621094
10,360,41.015625
11,0,42.3889160156
11,3,42.2790527344
11,6,42.2973632812
